timestamp,eye_state,fatigue_score,fatigue_risk
0,0,1.0,High
1,0,1.0,High
2,0,1.0,High
3,0,1.0,High
4,0,1.0,High
5,0,1.0,High
6,0,1.0,High
7,0,1.0,High
8,0,1.0,High
9,0,1.0,High
10,0,1.0,High
11,0,1.0,High
12,0,1.0,High
13,0,1.0,High
14,0,1.0,High
15,0,1.0,High
16,0,1.0,High
17,0,1.0,High
18,0,1.0,High
19,0,1.0,High
20,1,0.9523809523809523,High
21,0,0.9545454545454546,High
22,0,0.9565217391304348,High
23,0,0.9583333333333334,High
24,0,0.96,High
25,0,0.9615384615384616,High
26,0,0.9629629629629629,High
27,0,0.9642857142857143,High
28,0,0.9655172413793104,High
29,0,0.9666666666666667,High
30,1,0.9354838709677419,High
31,1,0.90625,High
32,1,0.8787878787878788,High
33,0,0.8823529411764706,High
34,0,0.8857142857142857,High
35,0,0.8888888888888888,High
36,0,0.8918918918918919,High
37,0,0.8947368421052632,High
38,0,0.8974358974358975,High
39,0,0.9,High
40,0,0.9024390243902439,High
41,0,0.9047619047619048,High
42,0,0.9069767441860465,High
43,0,0.9090909090909091,High
44,0,0.9111111111111111,High
45,0,0.9130434782608695,High
46,0,0.9148936170212766,High
47,0,0.9166666666666666,High
48,0,0.9183673469387755,High
49,0,0.92,High
50,0,0.9215686274509803,High
51,0,0.9230769230769231,High
52,0,0.9245283018867925,High
53,0,0.9259259259259259,High
54,0,0.9272727272727272,High
55,0,0.9285714285714286,High
56,0,0.9298245614035088,High
57,0,0.9310344827586207,High
58,0,0.9322033898305084,High
59,1,0.9166666666666666,High
60,0,0.9166666666666666,High
61,0,0.9166666666666666,High
62,0,0.9166666666666666,High
63,0,0.9166666666666666,High
64,0,0.9166666666666666,High
65,0,0.9166666666666666,High
66,0,0.9166666666666666,High
67,0,0.9166666666666666,High
68,0,0.9166666666666666,High
69,0,0.9166666666666666,High
70,0,0.9166666666666666,High
71,0,0.9166666666666666,High
72,0,0.9166666666666666,High
73,0,0.9166666666666666,High
74,0,0.9166666666666666,High
75,0,0.9166666666666666,High
76,0,0.9166666666666666,High
77,0,0.9166666666666666,High
78,0,0.9166666666666666,High
79,0,0.9166666666666666,High
80,0,0.9333333333333333,High
81,0,0.9333333333333333,High
82,0,0.9333333333333333,High
83,0,0.9333333333333333,High
84,0,0.9333333333333333,High
85,0,0.9333333333333333,High
86,0,0.9333333333333333,High
87,0,0.9333333333333333,High
88,0,0.9333333333333333,High
89,0,0.9333333333333333,High
90,0,0.95,High
91,0,0.9666666666666667,High
92,0,0.9833333333333333,High
93,0,0.9833333333333333,High
94,0,0.9833333333333333,High
95,0,0.9833333333333333,High
96,0,0.9833333333333333,High
97,0,0.9833333333333333,High
98,0,0.9833333333333333,High
99,0,0.9833333333333333,High
100,0,0.9833333333333333,High
101,0,0.9833333333333333,High
102,0,0.9833333333333333,High
103,0,0.9833333333333333,High
104,0,0.9833333333333333,High
105,0,0.9833333333333333,High
106,0,0.9833333333333333,High
107,0,0.9833333333333333,High
108,0,0.9833333333333333,High
109,0,0.9833333333333333,High
110,0,0.9833333333333333,High
111,0,0.9833333333333333,High
112,0,0.9833333333333333,High
113,0,0.9833333333333333,High
114,0,0.9833333333333333,High
115,0,0.9833333333333333,High
116,0,0.9833333333333333,High
117,0,0.9833333333333333,High
118,0,0.9833333333333333,High
119,0,1.0,High
120,1,0.9833333333333333,High
121,0,0.9833333333333333,High
122,0,0.9833333333333333,High
123,0,0.9833333333333333,High
124,0,0.9833333333333333,High
125,0,0.9833333333333333,High
126,0,0.9833333333333333,High
127,0,0.9833333333333333,High
128,0,0.9833333333333333,High
129,0,0.9833333333333333,High
130,0,0.9833333333333333,High
131,0,0.9833333333333333,High
132,0,0.9833333333333333,High
133,0,0.9833333333333333,High
134,0,0.9833333333333333,High
135,0,0.9833333333333333,High
136,0,0.9833333333333333,High
137,0,0.9833333333333333,High
138,0,0.9833333333333333,High
139,0,0.9833333333333333,High
140,0,0.9833333333333333,High
141,0,0.9833333333333333,High
142,0,0.9833333333333333,High
143,0,0.9833333333333333,High
144,1,0.9666666666666667,High
145,1,0.95,High
146,0,0.95,High
147,0,0.95,High
148,0,0.95,High
149,1,0.9333333333333333,High
150,0,0.9333333333333333,High
151,0,0.9333333333333333,High
152,0,0.9333333333333333,High
153,0,0.9333333333333333,High
154,0,0.9333333333333333,High
155,0,0.9333333333333333,High
156,0,0.9333333333333333,High
157,0,0.9333333333333333,High
158,1,0.9166666666666666,High
159,1,0.9,High
160,0,0.9,High
161,0,0.9,High
162,0,0.9,High
163,0,0.9,High
164,0,0.9,High
165,0,0.9,High
166,0,0.9,High
167,0,0.9,High
168,0,0.9,High
169,0,0.9,High
170,0,0.9,High
171,1,0.8833333333333333,High
172,0,0.8833333333333333,High
173,0,0.8833333333333333,High
174,0,0.8833333333333333,High
175,0,0.8833333333333333,High
176,0,0.8833333333333333,High
177,0,0.8833333333333333,High
178,0,0.8833333333333333,High
179,0,0.8833333333333333,High
180,0,0.9,High
181,0,0.9,High
182,0,0.9,High
183,0,0.9,High
184,0,0.9,High
185,0,0.9,High
186,0,0.9,High
187,0,0.9,High
188,0,0.9,High
189,0,0.9,High
190,0,0.9,High
191,0,0.9,High
192,0,0.9,High
193,0,0.9,High
194,0,0.9,High
195,0,0.9,High
196,0,0.9,High
197,0,0.9,High
198,0,0.9,High
199,0,0.9,High
200,1,0.8833333333333333,High
201,1,0.8666666666666667,High
202,0,0.8666666666666667,High
203,0,0.8666666666666667,High
204,0,0.8833333333333333,High
205,0,0.9,High
206,0,0.9,High
207,0,0.9,High
208,0,0.9,High
209,0,0.9166666666666666,High
210,0,0.9166666666666666,High
211,0,0.9166666666666666,High
212,0,0.9166666666666666,High
213,0,0.9166666666666666,High
214,0,0.9166666666666666,High
215,0,0.9166666666666666,High
216,0,0.9166666666666666,High
217,0,0.9166666666666666,High
218,0,0.9333333333333333,High
219,0,0.95,High
220,0,0.95,High
221,0,0.95,High
222,0,0.95,High
223,0,0.95,High
224,0,0.95,High
225,0,0.95,High
226,0,0.95,High
227,0,0.95,High
228,0,0.95,High
229,0,0.95,High
230,0,0.95,High
231,0,0.9666666666666667,High
232,0,0.9666666666666667,High
233,0,0.9666666666666667,High
234,0,0.9666666666666667,High
235,0,0.9666666666666667,High
236,0,0.9666666666666667,High
237,0,0.9666666666666667,High
238,0,0.9666666666666667,High
239,0,0.9666666666666667,High
240,0,0.9666666666666667,High
241,0,0.9666666666666667,High
242,0,0.9666666666666667,High
243,0,0.9666666666666667,High
244,0,0.9666666666666667,High
245,0,0.9666666666666667,High
246,0,0.9666666666666667,High
247,0,0.9666666666666667,High
248,0,0.9666666666666667,High
249,0,0.9666666666666667,High
250,0,0.9666666666666667,High
251,0,0.9666666666666667,High
252,0,0.9666666666666667,High
253,0,0.9666666666666667,High
254,0,0.9666666666666667,High
255,0,0.9666666666666667,High
256,0,0.9666666666666667,High
257,0,0.9666666666666667,High
258,0,0.9666666666666667,High
259,0,0.9666666666666667,High
260,0,0.9833333333333333,High
261,0,1.0,High
262,0,1.0,High
263,0,1.0,High
264,0,1.0,High
265,0,1.0,High
266,1,0.9833333333333333,High
267,0,0.9833333333333333,High
268,0,0.9833333333333333,High
269,0,0.9833333333333333,High
270,1,0.9666666666666667,High
271,0,0.9666666666666667,High
